PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240322,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240406070524
20240325,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240409070549
20240325,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,65000,1,kg,10.0,kg,N,20240409070549
20240326,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,65000,1,kg,10.0,kg,N,20240410070524
20240326,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240410070524
20240327,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,65000,1,kg,10.0,kg,N,20240411070522
20240327,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240411070522
20240328,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,65000,1,kg,10.0,kg,N,20240412070542
20240328,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240412070542
20240329,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240413070523
20240329,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,65000,1,kg,10.0,kg,N,20240413070523
20240401,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,62500,1,kg,10.0,kg,N,20240416070514
20240401,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240416070514
20240402,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,62500,1,kg,10.0,kg,N,20240417070513
20240402,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240417070513
20240403,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240418070530
20240403,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,65000,1,kg,10.0,kg,N,20240418070530
20240404,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240419070512
20240404,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,65000,1,kg,10.0,kg,N,20240419070512
20240405,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,65000,1,kg,10.0,kg,N,20240420070512
20240405,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240420070512
20240408,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,63300,1,kg,10.0,kg,N,20240423070541
20240408,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240423070541
20240409,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,63300,1,kg,10.0,kg,N,20240424070521
20240409,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240424070521
20240411,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,63300,1,kg,10.0,kg,N,20240426070525
20240411,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240426070525
20240412,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,63300,1,kg,10.0,kg,N,20240427070548
20240412,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240427070548
20240415,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240430070532
